2012-05-16 16:25:44.501 [info] <0.7.0> Application lager started on node 'proxima2@localhost'
2012-05-16 16:25:44.533 [info] <0.7.0> Application webmachine started on node 'proxima2@localhost'
2012-05-16 16:25:44.545 [info] <0.7.0> Application os_mon started on node 'proxima2@localhost'
2012-05-16 16:25:44.550 [info] <0.7.0> Application riak_sysmon started on node 'proxima2@localhost'
2012-05-16 16:25:44.576 [warning] <0.91.0>@riak_core_app:start:87 No ring file available.
2012-05-16 16:25:44.576 [info] <0.7.0> Application riak_core started on node 'proxima2@localhost'
2012-05-16 16:25:44.589 [info] <0.112.0>@proxima_vnode_dispatcher:init:35 Starting HTTP server on 7501
2012-05-16 16:25:44.589 [info] <0.112.0>@proxima_vnode_dispatcher:init:38 Serving static resources from "/home/antares/Development/Orceo/proxima.git/www"
2012-05-16 16:25:44.608 [info] <0.7.0> Application proxima started on node 'proxima2@localhost'
2012-05-16 16:25:55.841 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.842 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.842 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.842 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.842 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.842 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.843 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.843 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.843 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.843 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.843 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.844 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.844 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.844 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.844 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.844 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.844 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.845 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.845 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.845 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.845 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.845 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.845 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.846 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.846 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.846 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.846 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.846 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.847 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.847 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.847 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.847 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.847 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.847 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.848 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.848 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.848 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.848 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.848 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.848 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.849 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.849 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.849 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.849 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.849 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.849 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.850 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.850 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.850 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.850 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.850 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.850 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.851 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.851 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.851 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.851 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.851 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.851 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.852 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.852 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.852 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.852 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.852 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.853 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.853 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
